DBN,School Name,School Type,Most Recent Quality Review,Quality Review Rating,Progress Rating,Achievement Rating,Environment Rating,College and Career Readiness Rating,Closing the Achievement Gap Rating,Principal,Enrollment,% ELL,% Students with Disabilities,% Self-Contained,% Free Lunch,% Black or Hispanic,% Overage,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent Asian,Percent Black,Percent Hispanic,Percent White,Percent Other,Principal at Time of Quality Review,Quality Review: How interesting and challenging is the curriculum?,Quality Review: How effective is the teaching and learning?,Quality Review: How well does the school assess what students are learning?,Quality Review: How clearly are high expectations communicated to students and staff?,Quality Review: How well do teachers work with each other?,State Accountability,Teacher Attendance,Years of Principal Experience at This School,Shared Space,Average SAT Score
09X327,Comprehensive Model School Project M.S. 327,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Manuel Ramirez,221,0.045,0.267,0.086,0.933,0.986,0.041,2.5,2.6,0,0.226,0.76,0.009,0.005,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.97,10,true,
01M292,Henry Street School for International Studies,High School,"April 8-9, 2014",Proficient,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Christine Loughlin,258,0.217,0.318,0.124,0.779,0.806,0.143,2.17,2.07,0.143,0.248,0.554,0.027,0.027,Christine Loughlin,Proficient,Developing,Proficient,Proficient,Proficient,Priority,0.96,2,true,1131
01M448,University Neighborhood High School,High School,"February 13 - 14, 2013",Proficient,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Elizabeth Collins,299,0.281,0.291,0.087,0.804,0.639,0.171,2.23,2.26,0.328,0.251,0.388,0.027,0.007,Elizabeth Collins,Proficient,Proficient,Proficient,Proficient,Proficient,Focus,0.97,5,false,1176
01M450,East Side Community School,High School,,N/A,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,N/A,Mark Federman,388,0.028,0.271,0.015,0.621,0.807,0.034,2.66,2.58,0.108,0.216,0.588,0.077,0.01,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.99,13,true,1311
01M509,Marta Valle High School,High School,"May 5-6, 2014",Developing,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Jannett Bailey,401,0.082,0.277,0.177,0.784,0.905,0.107,2.34,2.15,0.067,0.414,0.491,0.02,0.007,Jannett Bailey,Developing,Developing,Developing,Developing,Proficient,Priority,0.97,1,true,1150
01M539,"New Explorations into Science, Technology and Math High School",High School,"May 19-20, 23, 2011",Proficient,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,N/A,Dr. Olga Livanis,610,0.003,0.069,0.007,0.216,0.309,0.003,3.48,3.49,0.366,0.125,0.18,0.29,0.039,Dr. Olga Livanis,Well Developed,Proficient,Proficient,Well Developed,Developing,Reward,0.97,8,false,1773
01M696,Bard High School Early College,High School,"January 15-16, 2014",Well Developed,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,Michael Lerner,560,0.004,0.013,0,0.21,0.336,0.005,3.7,3.64,0.163,0.143,0.189,0.489,0.016,Michael Lerner,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Good Standing,0.98,4,false,1963
02M047,47 The American Sign Language and English Secondary School,High School,"October 22-23, 2013",Proficient,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,Watfa A. Shama,184,0.071,0.348,0.12,0.799,0.918,0.054,2.3,2.17,0.027,0.266,0.652,0.049,0.005,Watfa A. Shama,Proficient,Proficient,Proficient,Proficient,Proficient,Focus,0.97,6,true,1212
02M135,The Urban Assembly School for Emergency Management,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Rodolfo Elizondo,116,0.069,0.172,0.069,0.6,0.931,0.052,2.39,2.23,0.026,0.233,0.698,0.043,0,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.98,1,true,
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,High School,,N/A,N/A,N/A,N/A,N/A,N/A,Larry Gabbard,85,0.129,0.341,0.306,0.6,0.788,0.094,2.34,2.2,0.047,0.212,0.553,0.141,0.047,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.99,1,true,
02M288,Food and Finance High School,High School,,N/A,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Roger Turgeon,443,0.029,0.178,0.02,0.71,0.905,0.041,2.48,2.32,0.05,0.411,0.494,0.041,0.005,,N/A,N/A,N/A,N/A,N/A,Good Standing,0.96,10,true,1146
02M294,Essex Street Academy,High School,"March 3-4, 2014",Proficient,Exceeding Target,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,Erin Carstensen,349,0.037,0.258,0.032,0.632,0.782,0.04,2.47,2.25,0.052,0.341,0.441,0.158,0.009,Erin Carstensen,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Good Standing,0.97,4,true,1199
