"TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","PARENT1","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY","INCOME_THOU","HOME_VAL_THOU"
"0",0,1,55,1,14,"0","1","Female","Bachelors","Home Maker",32,"Private",13340,1,"SUV","0",6913,1,"0",3,8,"0",17.82,115.54
"0",0,0,38,2,10,"1","0","Male","Bachelors","Professional",33,"Commercial",11310,1,"Pickup","0",0,0,"0",0,6,"0",60.107,206.738
"1",1791.3944575,0,32,4,0,"0","1","Male","<High School","Student",36,"Commercial",9150,10,"Pickup","1",0,0,"0",4,1,"1",0,60.95
"0",0,0,48,0,12,"0","0","Female","High School","Professional",16,"Private",25670,1,"Minivan","0",3963,2,"0",3,8,"1",58.438,210.729
"0",0,0,46,0,6,"0","0","Female","Bachelors","Home Maker",5,"Private",23090,4,"Minivan","0",0,0,"0",1,4,"1",83.277,0
"0",0,0,35,0,4,"0","0","Female","Bachelors","Blue Collar",43,"Commercial",14200,10,"SUV","0",5459,2,"0",0,12,"1",51.116,0
"0",0,1,44,3,14,"0","1","Female","High School","Blue Collar",15,"Commercial",9980,4,"SUV","0",0,0,"0",0,12,"1",40.819,194.339
"0",0,0,46,0,11,"0","1","Male","Bachelors","Clerical",35,"Private",12230,7,"Pickup","1",0,0,"0",0,9,"0",35.214,139.244
"1",4738,0,53,0,6,"0","0","Female","PhD","Doctor",32,"Private",16810,1,"Sports Car","0",0,0,"0",0,11,"1",159.399,0
"1",5800,0,44,0,12,"0","0","Male","<High School","Blue Collar",25,"Commercial",8620,1,"Pickup","1",0,0,"0",1,1,"0",27.222,0
"0",0,0,55,0,18,"0","1","Male","High School","Blue Collar",49,"Commercial",11550,1,"Minivan","0",0,0,"0",0,1,"0",49.627,255.967
"1",4057,1,37,2,11,"0","1","Female","Bachelors","Manager",20,"Private",11440,13,"SUV","0",981,1,"0",0,13,"1",62.426,209.548
"1",1331,1,41,1,11,"0","1","Male","PhD","Doctor",30,"Commercial",5620,17,"Pickup","1",7351,2,"0",0,18,"1",65.483,217.253
"1",6035,0,57,0,11,"0","0","Female","High School","Manager",44,"Private",26180,7,"Pickup","0",3090,2,"0",0,1,"1",77.631,0
"1",16852.814917,0,56,0,12,"0","0","Male","High School","Blue Collar",38,"Commercial",24010,11,"Panel Truck","1",11445,3,"0",5,1,"1",78.291,0
"0",0,0,46,0,7,"0","1","Male","Bachelors","Blue Collar",24,"Commercial",14020,4,"Minivan","0",0,0,"0",0,12,"0",79.249,269.116
"1",7531,0,41,0,3,"0","0","Female","Masters","Lawyer",36,"Private",6000,1,"Sports Car","0",26003,2,"1",4,21,"1",85.545,0
"1",5101,0,41,0,0,"0","0","Female","Bachelors","Home Maker",43,"Private",12450,15,"SUV","0",0,0,"0",1,11,"1",0,78.794
"0",0,0,38,0,10,"0","1","Female","Bachelors","Manager",46,"Private",20730,9,"SUV","0",0,0,"0",0,11,"1",95.197,281.124
"0",0,0,45,0,12,"0","1","Male","Bachelors","Manager",18,"Private",14730,11,"Minivan","1",0,0,"0",2,7,"1",87.334,208.665
"0",0,0,47,0,10,"0","0","Female","Masters","Lawyer",32,"Private",31740,13,"Van","0",0,0,"0",0,20,"1",122.973,0
"0",0,0,48,0,13,"0","1","Male","Masters","Home Maker",38,"Commercial",22360,1,"Van","0",0,0,"0",0,17,"0",132.869,393.765
"0",0,0,37,1,7,"1","0","Female","Bachelors","Professional",67,"Private",12420,10,"Sports Car","0",0,0,"0",0,8,"1",111.183,314.817
"0",0,1,41,4,16,"0","1","Male","High School","Blue Collar",57,"Commercial",27910,10,"Panel Truck","1",4858,2,"0",0,1,"1",38.819,154.796
"0",0,0,31,1,11,"1","0","Male","Bachelors","Professional",5,"Private",11640,1,"Minivan","1",0,0,"0",0,11,"1",101.321,316.035
"1",5272,1,43,1,0,"0","1","Female","High School","Student",22,"Commercial",17600,8,"SUV","0",5336,2,"0",0,1,"1",0,0
"0",0,1,40,2,16,"0","1","Female","High School","Clerical",47,"Private",13130,11,"Sports Car","0",0,0,"0",2,9,"0",36.886,169.625
"0",0,0,49,0,11,"0","1","Female","Masters","Lawyer",26,"Private",26650,1,"Minivan","0",0,0,"0",0,15,"0",99.1,251.945
"0",0,0,50,0,12,"0","0","Female","Masters","Lawyer",35,"Private",27010,1,"Minivan","0",4235,2,"0",7,19,"1",108.224,0
"0",0,0,56,0,3,"0","0","Male","Masters","Lawyer",20,"Private",13340,1,"Minivan","1",0,0,"0",1,20,"0",37.352,0
"1",6780,0,37,0,11,"0","0","Female","High School","Clerical",40,"Private",9620,6,"SUV","0",7414,1,"0",1,8,"1",40.868,0
"0",0,0,45,1,12,"0","1","Female","Bachelors","Professional",15,"Private",11990,6,"SUV","0",0,0,"0",0,7,"1",52.149,184.538
"1",3352,0,53,0,12,"0","0","Male","<High School","Clerical",48,"Private",6600,4,"Pickup","1",21606,1,"1",1,1,"1",28.637,0
"0",0,0,41,0,9,"0","0","Male","Masters","Doctor",44,"Commercial",18920,4,"Van","0",0,0,"0",0,17,"1",107.814,282.778
"0",0,0,48,0,9,"0","1","Male","Bachelors","Blue Collar",49,"Commercial",13580,1,"Minivan","0",0,0,"0",1,1,"0",72.838,204.78
"1",1901,0,37,0,12,"0","1","Female","High School","Blue Collar",51,"Commercial",23350,1,"SUV","0",0,0,"0",0,10,"0",38.128,139.34
"0",0,0,35,0,9,"0","0","Female","High School","Clerical",45,"Private",20860,4,"Minivan","1",0,0,"0",0,1,"1",19.639,0
"0",0,1,40,2,14,"0","1","Female","<High School","Clerical",47,"Private",8160,17,"Sports Car","0",0,0,"0",1,1,"1",26.555,160.14
"1",4771,0,35,2,12,"1","0","Female","Bachelors","Professional",43,"Private",17540,1,"Minivan","0",25379,1,"1",0,9,"1",105.992,0
"0",0,0,45,0,11,"0","0","Female","Masters","Lawyer",28,"Private",6000,1,"Sports Car","0",8609,2,"0",4,17,"1",92.792,0
"1",2203,0,55,0,13,"0","0","Female","Bachelors","Professional",61,"Private",12520,9,"SUV","0",8533,1,"1",7,12,"0",74.385,80.883
"0",0,0,62,0,13,"0","1","Male","Bachelors","Professional",26,"Private",17090,22,"SUV","0",0,0,"0",0,17,"1",29.453,135.076
"0",0,0,51,0,12,"0","1","Female","<High School","Blue Collar",38,"Private",5000,7,"SUV","0",0,0,"0",0,6,"0",35.024,196.32
"0",0,0,51,0,0,"0","1","Female","High School","Student",48,"Private",27390,1,"Minivan","0",0,0,"0",0,14,"0",4.431,0
"0",0,0,60,0,12,"0","0","Female","Masters","Lawyer",50,"Private",10450,6,"SUV","0",893,2,"0",5,19,"1",89.504,239.965
"0",0,0,50,0,11,"0","1","Female","Masters","Lawyer",36,"Private",16610,1,"SUV","0",0,0,"0",0,10,"1",101.13,335.516
"0",0,0,61,0,12,"0","0","Male","PhD","Doctor",45,"Private",25550,6,"Minivan","0",0,0,"0",1,19,"1",179.536,481.375
"0",0,0,73,3,23,"0","1","Male","PhD","Doctor",5,"Private",19540,14,"Minivan","0",0,0,"0",0,21,"1",116.52,362.06
"0",0,0,42,2,0,"0","1","Female","High School","Student",19,"Commercial",10980,4,"Sports Car","0",0,0,"0",0,1,"1",1.719,0
"1",5952,0,63,0,15,"0","1","Female","Bachelors","Manager",19,"Private",14360,1,"SUV","0",30288,1,"1",2,11,"1",26.921,140.455
"0",0,0,49,0,12,"0","1","Male","Bachelors","Professional",30,"Private",15590,1,"Minivan","0",0,0,"0",1,8,"1",91.922,262.101
"0",0,0,37,0,8,"0","0","Female","<High School","Clerical",57,"Private",17110,7,"SUV","0",0,0,"0",0,1,"0",26.412,0
