"TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY"
"0",0,1,55,1,14,17820,"No",115540,"Yes","Female","Bachelors","Home Maker",32,"Private",13340,1,"SUV","No",6913,1,"Yes",3,8,"Rural"
"0",0,0,38,2,10,60107,"Yes",206738,"No","Male","Bachelors","Professional",33,"Commercial",11310,1,"Pickup","No",0,0,"Yes",0,6,"Rural"
"1",1791.3944575,0,32,4,0,0,"No",60950,"Yes","Male","<High School","Student",36,"Commercial",9150,10,"Pickup","Yes",0,0,"Yes",4,1,"Urban"
"0",0,0,48,0,12,58438,"No",210729,"No","Female","High School","Professional",16,"Private",25670,1,"Minivan","No",3963,2,"Yes",3,8,"Urban"
"0",0,0,46,0,6,83277,"No",0,"No","Female","Bachelors","Home Maker",5,"Private",23090,4,"Minivan","No",0,0,"Yes",1,4,"Urban"
"0",0,0,35,0,4,51116,"No",0,"No","Female","Bachelors","Blue Collar",43,"Commercial",14200,10,"SUV","No",5459,2,"Yes",0,12,"Urban"
"0",0,1,44,3,14,40819,"No",194339,"Yes","Female","High School","Blue Collar",15,"Commercial",9980,4,"SUV","No",0,0,"Yes",0,12,"Urban"
"0",0,0,46,0,11,35214,"No",139244,"Yes","Male","Bachelors","Clerical",35,"Private",12230,7,"Pickup","Yes",0,0,"Yes",0,9,"Rural"
"1",4738,0,53,0,6,159399,"No",0,"No","Female","PhD","Doctor",32,"Private",16810,1,"Sports Car","No",0,0,"Yes",0,11,"Urban"
"1",5800,0,44,0,10,27222,"No",0,"No","Male","<High School","Blue Collar",25,"Commercial",8620,1,"Pickup","Yes",0,0,"Yes",1,1,"Rural"
"0",0,0,55,0,18,49627,"No",255967,"Yes","Male","High School","Blue Collar",49,"Commercial",11550,1,"Minivan","No",0,0,"Yes",0,1,"Rural"
"1",4057,1,37,2,11,62426,"No",209548,"Yes","Female","Bachelors","Manager",20,"Private",11440,13,"SUV","No",981,1,"Yes",0,11,"Urban"
"1",1331,1,41,1,11,65483,"No",185145,"Yes","Male","PhD","Lawyer",30,"Commercial",5620,17,"Pickup","Yes",7351,2,"Yes",0,18,"Urban"
"1",6035,0,57,0,11,77631,"No",0,"No","Female","High School","Manager",44,"Private",26180,7,"Pickup","No",3090,2,"Yes",0,1,"Urban"
"1",16852.814917,0,56,0,12,78291,"No",0,"No","Male","High School","Blue Collar",38,"Commercial",24010,11,"Panel Truck","Yes",11445,3,"Yes",5,1,"Urban"
"0",0,0,46,0,7,79249,"No",269116,"Yes","Male","Bachelors","Blue Collar",24,"Commercial",14020,4,"Minivan","No",0,0,"Yes",0,12,"Rural"
"1",7531,0,41,0,3,85545,"No",0,"No","Female","Masters","Lawyer",36,"Private",6000,1,"Sports Car","No",26003,2,"No",4,21,"Urban"
"1",5101,0,41,0,3,0,"No",78794,"No","Female","Bachelors","Home Maker",43,"Private",12450,15,"SUV","No",0,0,"Yes",1,11,"Urban"
"0",0,0,38,0,10,95197,"No",281124,"Yes","Female","Bachelors","Manager",46,"Private",20730,9,"SUV","No",0,0,"Yes",0,11,"Urban"
"0",0,0,45,0,12,87334,"No",208665,"Yes","Male","Bachelors","Manager",18,"Private",14730,11,"Minivan","Yes",0,0,"Yes",2,7,"Urban"
"0",0,0,47,0,10,122973,"No",0,"No","Female","Masters","Lawyer",32,"Private",31740,13,"Van","No",0,0,"Yes",0,20,"Urban"
"0",0,0,48,0,13,132869,"No",393765,"Yes","Male","Masters","Lawyer",38,"Commercial",22360,1,"Van","No",0,0,"Yes",0,19,"Rural"
"0",0,0,37,1,7,111183,"Yes",314817,"No","Female","Bachelors","Professional",67,"Private",12420,10,"Sports Car","No",0,0,"Yes",0,8,"Urban"
"0",0,1,41,4,16,38819,"No",154796,"Yes","Male","High School","Blue Collar",57,"Commercial",27910,10,"Panel Truck","Yes",4858,2,"Yes",0,1,"Urban"
"0",0,0,31,1,11,101321,"Yes",170408,"No","Male","Bachelors","Professional",5,"Private",11640,1,"Minivan","Yes",0,0,"Yes",0,11,"Urban"
