"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS"
3,3.2,1.16,-0.98,54.2,-0.567,-111,268,0.9928,3.33,-0.59,9.9,0,8,"2"
3,4.5,0.16,-0.81,26.1,-0.425,15,-327,1.02792,3.38,0.7,5.8,-1,7,"3"
5,7.1,2.64,-0.88,14.8,0.037,214,142,0.99518,3.12,0.48,22,-1,8,"3"
0,11.3,0.32,0.59,2.2,0.556,-37,15,0.9994,3.2,1.29,15.4,0,11,"0"
4,6.5,-1.22,0.34,1.4,0.04,523,551,1.03236,3.2,-1.13,11.6,1,7,"3"
3,14.8,0.27,1.05,11.25,-0.007,-213,515,0.9962,4.93,0.26,15,0,6,"0"
6,5.5,-0.22,0.39,1.8,-0.277,62,180,0.94724,3.09,0.75,12.6,0,8,"4"
0,-17.2,0.52,0.15,-33.8,-0.022,551,65,0.9934,4.31,0.56,13.1,1,5,"1"
3,6,0.33,-1.06,3,0.518,5,378,0.96643,3.55,-0.86,3.9,1,7,"2"
4,21.8,0.51,1.83,2.9,-0.165,-49,45,0.9974,6.02,2.23,12.1,0,9,"0"
4,-1.3,0.22,2.95,-53,0.541,-85,-266,0.99672,3.61,0.82,10,0,8,"3"
5,10,0.23,0.27,14.1,0.033,-188,229,0.9988,3.14,0.88,11,1,11,"2"
4,6.8,0.475,-0.2,-50.75,0.047,-88,508,0.99403,3.23,0.35,18.3,-1,8,"2"
3,5.8,0.76,0.33,-26,-0.195,87,-283,0.9885,3.07,0.56,11.4,-1,6,"1"
3,7.1,0.97,0.25,11.2,0.135,32,180,1.00278,3.14,0.42,9.5,0,8,"1"
4,11.3,0.17,0.34,15.6,0.044,330,139,0.99752,3.06,3.83,9.1,0,7,"2"
4,6.4,2.21,0.56,40.4,0.055,27,-166,1.04577,1.77,-3.12,9.1,1,7,"2"
6,8.3,-2.46,0.27,13.2,0.036,31,134,0.99408,1.95,0.02,13,1,7,"4"
4,8,-0.01,-1.1,44.8,-0.35,17,129,1.03564,3.2,0.76,16.6,0,9,"2"
4,5.7,0.25,0.27,10.8,0.05,58,-243,0.95643,3.1,-0.21,9.8,0,6,"3"
0,22.2,0.34,0.49,-56.1,-0.073,56,348,0.99967,4.08,0.66,6.5,-1,14,"1"
0,-3.8,-0.28,-1.2,16.2,0.048,44,147,0.9972,3.3,0.52,2.1,0,6,"0"
3,7.9,0.38,1.45,-8,-0.24,21,138,0.99796,3.52,-0.01,15.9,0,9,"1"
4,7.9,-0.56,-0.72,58.8,0.92,127,318,0.99904,3.05,-0.02,9.8,1,8,"1"
5,14.8,1.17,-0.09,1.5,0.027,-166,-157,0.99,3.3,0.33,12.5,0,8,"2"
0,6.9,0.3,0.29,1.3,0.042,24,189,1.02393,3.29,-0.83,-3.1,1,7,"1"
4,3.1,1.65,-2.75,9.2,-0.002,54,126,0.9893,3.04,1.73,9.7,0,8,"1"
0,3.2,0.47,0.3,41.7,-0.058,-160,135,0.9976,1.33,0.43,9.4,0,9,"0"
5,9.3,0.14,-1.03,7.9,-0.379,21,82,1.0241,3.26,-0.38,13.7,1,7,"2"
1,19.3,1.75,0.36,52.3,0.075,63,48,1.02917,3.34,1.85,13.5,-2,9,"1"
3,5.8,0.36,0.5,-38.8,-0.291,63,178,1.00091,3.87,0.45,8.8,0,7,"1"
4,15.5,0.19,0.26,54,0.039,30,-214,0.98998,3.32,0.16,12.1,0,6,"2"
4,-4.2,0.36,0.26,13.2,0.051,54,201,0.9976,3,1.62,10.8,1,7,"1"
3,-4.3,-0.4,0.27,7.1,0.049,205,321,0.99579,3.16,0.38,9.4,1,8,"1"
3,-3.4,0.28,0.35,2.1,1.197,-29,203,0.95511,3.26,2.14,9.2,-1,7,"0"
1,6.8,1.94,0.04,3.5,0.532,25,133,1.0354,3.17,-0.56,10.2,-2,7,"1"
4,15.1,0.44,0.22,4.3,-0.992,-3,99,1.02618,3.26,0.53,16.9,-1,7,"1"
4,6.2,0.16,0.26,-12.05,-0.204,208,220,0.99622,2.59,0.58,10.6,0,7,"2"
3,16.9,0.19,0.41,-36.7,0.046,51,169,0.9954,3.14,1.65,9.8,-1,7,"1"
0,5.8,-0.68,3.26,-11.4,0.056,23,65,0.99755,4.12,-0.34,9.7,-2,6,"0"
0,14.6,0.54,0.52,8.6,0.088,-124,48,0.9981,2.42,0.41,4.2,1,9,"0"
2,-2.9,0.54,0.03,48.9,0.094,41,110,0.9982,4,0.8,9.2,-1,10,"1"
0,16.3,0.33,0.49,2.5,0.631,8,-297,1.01598,2.62,0.82,6.3,-1,13,"1"
6,14.7,0.24,0.84,6.4,0.048,143,-196,0.9944,2.46,0.55,10.5,1,7,"4"
4,6.9,2.75,0.33,-16.8,0.039,-161,158,0.99082,4.14,0.58,16.9,0,7,"3"
0,7.3,-0.52,-0.97,-36.3,0.048,-255,-779,0.99044,4.04,0.35,12,-1,8,"1"
4,8,-0.53,1.53,13.2,0.046,26,113,0.9983,3.23,0.37,8.4,0,9,"4"
0,10.2,-0.81,0.44,54.5,0.045,21,-609,0.9924,2.79,0.46,8.9,2,8,"0"
2,8.1,-0.46,-0.09,3.3,0.096,26,283,1.00573,3.6,1.18,18.2,0,9,"1"
1,6.1,-1.17,0.96,18.15,0.097,41,146,1.00278,3.3,-0.2,11.5,-2,7,"1"
4,7,0.73,-0.92,8,1.185,-169,164,0.97963,4.34,-0.62,9,0,8,"1"
5,4.2,0.69,0.58,-24.3,0.188,104,161,0.954,3.06,0.41,13.1,1,9,"1"
5,17.2,0.37,1.72,-54.7,0.028,24,84,0.9909,2.75,0.18,11.7,1,7,"3"
5,-1.5,0.43,1.58,2.4,0.214,-388,9,0.9994,3.24,1.77,11.2,1,11,"3"
0,6.5,0.29,-0.7,-3.4,0.142,228,-18,0.9927,3.49,1.98,9.9,1,7,"0"
4,2.9,0.63,1.63,-57.2,0.327,24,-317,0.9917,3.19,0.48,10.5,0,7,"2"
5,-3.5,0.27,-1.04,46,-0.006,352,175,1.03574,3.16,0.34,10.8,1,7,"3"
3,13.2,0.845,0.01,-25.6,0.172,-117,53,1.00888,3.32,0.5,11,1,9,"1"
0,12.4,0.38,1.7,2,0.08,-173,-207,0.9961,1.03,0.86,9,1,8,"0"
0,0.6,3.06,0.42,-19,-0.009,3,-147,0.99506,2.83,1.51,12.3,2,9,"0"
3,-1.3,0.64,0.3,2.25,-0.034,8,125,0.93293,2.72,0.62,9.9,-1,7,"1"
4,-4.8,-0.5,0.42,37.1,0.028,44,205,0.97409,4.34,2.36,11.3,-1,7,"2"
1,7.5,-0.42,1.75,3.85,0.546,-217,-44,0.95709,2.05,1.91,11.8,-1,8,"0"
2,6.2,1.4,1.64,15.8,0.057,39,248,1.02858,2.02,1.72,9.2,-1,7,"3"
4,-10.5,0.27,1.86,-58.8,-0.438,-17,338,0.94096,3.24,0.95,12.633333333,0,7,"2"
3,7.8,0.13,0.29,5.3,0.051,-47,545,0.94397,2.77,-1.25,7.4,-1,7,"1"
5,7.2,0.72,0.51,6.3,-0.083,-156,103,0.95501,3.71,1.03,11.4,0,8,"2"
3,4,1.04,0.19,43.3,0.05,294,174,1.01533,3.09,2.89,11.5,-1,8,"0"
3,7.4,0.37,-0.48,-25.6,0.305,46,233,1.03005,3.06,0.46,10.3,0,8,"1"
4,12.2,0.19,1.1,11.2,0.061,-63,-148,0.97994,2.99,-0.38,9.3,0,8,"2"
0,7.6,1.7,-1.03,3.4,0.048,-224,116,0.9944,4.25,0.41,9.4,0,8,"2"
0,1.9,0.47,-0.86,-58.1,0.174,24,37,0.99514,3,0.61,10.9,-1,8,"0"
0,8.4,0.39,0.1,1.7,0.075,-153,25,0.99581,3.09,0.43,9.7,-1,9,"0"
5,19.8,0.32,0.33,0.7,0.027,488,66,1.02566,3.11,3.65,11.8,1,7,"2"
5,7.1,0.21,0.32,2.2,0.098,28,141,0.993,4.34,-1.03,10,0,8,"1"
